Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-06,32562.605,519.000,70145.420,1771.000,40.470,83.686,57.467,5448.000,342345.273,108.483
2020-07,33837.342,506.000,72420.122,2026.000,98.171,85.217,58.065,5168.000,362907.978,108.806
2020-08,33936.205,480.000,70660.916,2185.000,150.113,85.162,60.188,4939.000,300141.779,102.565
2020-09,31957.453,477.000,68383.441,1904.000,232.420,88.482,60.733,5772.000,398573.937,114.017
2020-10,26645.052,470.000,67709.706,1455.000,69.000,76.347,57.677,3969.000,242276.382,97.016
2020-11,26924.321,474.000,66332.526,1222.000,180.753,77.789,58.767,4619.000,279412.840,98.650
2020-12,28942.727,488.000,70654.504,1313.000,157.948,77.602,59.968,4458.000,241808.878,95.887
2021-01,24709.342,476.000,68886.440,1193.000,42.000,74.373,55.935,3455.000,190243.740,98.968
2021-02,24951.997,446.000,62236.693,1147.000,105.393,82.425,65.107,3569.200,211254.804,103.429
2021-03,25436.955,478.000,66727.242,1205.000,124.175,82.199,61.419,3666.000,255173.744,110.661
2021-04,26633.878,481.000,66307.105,1311.000,123.000,79.595,58.133,4088.000,269886.163,105.233
2021-05,29117.373,500.000,69431.787,1547.000,182.987,81.027,57.742,4874.000,278528.199,97.435
2021-06,25993.214,470.000,66404.729,1226.000,140.000,80.495,58.900,4327.000,243918.000,107.850
2021-07,26833.770,490.000,68365.374,1214.000,174.639,76.236,55.710,4919.000,261263.736,97.468
2021-08,27008.358,499.000,68084.223,1265.000,85.000,77.263,56.032,4850.000,269986.921,97.419
2021-09,25420.707,481.000,65702.146,1230.000,61.000,77.441,57.433,4385.000,211644.250,94.800
2021-10,26048.098,496.000,69681.274,801.000,112.970,78.233,61.065,4434.000,240974.170,102.210
2021-11,22340.581,448.000,65958.619,605.000,79.000,77.748,62.833,3560.000,187380.035,102.433
2021-12,21614.684,462.000,67785.772,361.000,191.000,77.941,61.000,4283.000,231245.100,99.629
2022-01,22827.871,480.000,68165.271,656.000,135.000,78.160,61.677,3792.000,213974.845,105.226
2022-02,22180.514,441.000,62475.344,792.000,87.980,78.626,58.714,3795.000,221713.451,112.393
2022-03,23780.790,477.000,68582.848,916.000,97.910,78.843,59.290,4130.000,235776.132,112.919
2022-04,22325.538,459.000,66658.412,864.000,148.417,75.053,59.067,3551.000,224706.711,97.533
2022-05,25172.677,481.000,71127.304,1047.000,131.162,75.863,58.548,4411.000,275149.787,101.855